Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
embraer 190,Couple Leisure,Business Class,Dublin to London City,July 2022,4.0,4.0,3.0,3.0,1.0,1.0,1,0
a350,Family Leisure,Economy Class,Dublin to Dubai via London,March 2022,3.0,4.0,3.0,1.0,3.0,1.0,3,0
a320,Business,Business Class,Dublin to London,February 2022,3.0,4.0,3.0,3.0,3.0,1.0,1,0
a320 neo,Business,Economy Class,Dublin to London,July 2019,4.0,4.0,3.0,3.0,4.0,1.0,4,1
a319,Solo Leisure,Economy Class,Dublin to London Heathrow,April 2019,4.0,3.0,1.0,3.0,4.0,1.0,3,1
a320,Business,Business Class,London to Dublin,January 2019,5.0,5.0,5.0,3.0,2.0,1.0,5,1
boeing 747,Couple Leisure,Economy Class,Dublin to Miami via London,June 2018,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a380,Business,Business Class,Singapore to Dublin via London,March 2018,2.0,5.0,4.0,3.0,2.0,1.0,2,0
boeing 777300er,Couple Leisure,Economy Class,Houston to Dublin via London Heathrow,January 2018,3.0,4.0,4.0,5.0,4.0,1.0,5,1
a321,Couple Leisure,Business Class,Dublin to Heathrow,December 2017,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a320,Business,Economy Class,Dublin to Marseille via London,June 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 777 200,Business,Business Class,Bahrain to Dublin via london,May 2017,3.0,4.0,3.0,3.0,1.0,1.0,1,0
a320,Business,Business Class,London Heathrow to Dublin,March 2017,1.0,3.0,3.0,3.0,3.0,1.0,1,0
boeing 777200,Couple Leisure,Economy Class,Dublin to Seattle via London Heathrow,February 2017,2.0,5.0,1.0,3.0,1.0,1.0,3,0
a319,Business,Economy Class,Kiev to Dublin via LHR,November 2015,2.0,2.0,1.0,3.0,2.0,1.0,1,0
a319,Solo Leisure,Economy Class,Dublin to LHR,August 2015,4.0,5.0,4.0,3.0,4.0,1.0,4,1
boeing 747,Business,First Class,New York to Dublin via Heathrow,July 2015,2.0,3.0,2.0,1.0,1.0,1.0,1,0
e170,Business,First Class,Dublin to London City,July 2015,2.0,1.0,1.0,3.0,2.0,1.0,1,0
boeing 7879,Business,Economy Class,Denver to London,December 2022,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a320,Solo Leisure,Business Class,London to Marrakech,June 2022,3.0,5.0,5.0,3.0,4.0,1.0,3,1
a380,Solo Leisure,Economy Class,San Francisco to London,November 2022,2.0,1.0,2.0,2.0,3.0,1.0,2,0
a320,Solo Leisure,Business Class,London to Lisbon,November 2022,3.0,4.0,4.0,3.0,3.0,1.0,3,1
boeing 787  a320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022,4.0,4.0,4.0,4.0,4.0,1.0,4,1
boeing 777,Solo Leisure,Business Class,London to Cape Town,November 2022,4.0,2.0,1.0,4.0,1.0,1.0,1,0
boeing 7878,Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1.0,3.0,3.0,1.0,2.0,1.0,3,1
a320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022,2.0,1.0,1.0,3.0,3.0,1.0,3,0
boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,3.0,1.0,1.0,2.0,1.0,1.0,1,0
a3501000,Solo Leisure,Business Class,London to Los Angeles,October 2022,5.0,4.0,5.0,5.0,3.0,5.0,5,1
a320,Family Leisure,Economy Class,Larnaca to London,October 2022,1.0,2.0,1.0,1.0,2.0,1.0,2,0
boeing 78710,Couple Leisure,Business Class,Atlanta to London,October 2022,5.0,4.0,4.0,5.0,5.0,5.0,4,1
a380,Solo Leisure,Business Class,Madrid to San Francisco via London,September 2022,3.0,1.0,1.0,4.0,3.0,1.0,1,0
a380,Solo Leisure,Economy Class,London to Washington,October 2022,3.0,5.0,5.0,3.0,2.0,1.0,5,1
a380,Couple Leisure,Economy Class,London to San Francisco,October 2022,1.0,1.0,3.0,3.0,1.0,5.0,1,0
boeing 777300,Couple Leisure,Economy Class,London to Los Angeles,October 2022,3.0,4.0,3.0,4.0,4.0,1.0,4,1
boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,October 2022,5.0,5.0,3.0,2.0,4.0,1.0,3,1
a380,Solo Leisure,Business Class,Dubai to London,October 2022,4.0,4.0,4.0,2.0,4.0,2.0,3,1
a320neo,Couple Leisure,Economy Class,London to Cairo,October 2022,1.0,1.0,1.0,3.0,4.0,1.0,1,0
boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,October 2022,5.0,5.0,5.0,5.0,5.0,4.0,4,1
a321neo,Business,Economy Class,London to Cairo,October 2022,2.0,4.0,1.0,3.0,3.0,2.0,1,0
a380,Couple Leisure,Economy Class,Dallas to London,September 2022,2.0,4.0,2.0,4.0,4.0,1.0,3,1
a319,Couple Leisure,Business Class,Jersey to London Heathrow,September 2022,4.0,4.0,4.0,3.0,3.0,1.0,4,1
a320,Couple Leisure,Business Class,London Heathrow to Jersey,September 2022,4.0,5.0,4.0,3.0,3.0,1.0,4,1
a320200,Solo Leisure,Business Class,Istanbul to London Heathrow,September 2022,1.0,3.0,2.0,1.0,3.0,1.0,2,0
boeing 777200,Solo Leisure,Business Class,London Heathrow to New York JFK,September 2022,5.0,4.0,4.0,4.0,5.0,1.0,5,1
a320,Couple Leisure,Economy Class,London to Lisbon,September 2022,4.0,5.0,1.0,3.0,3.0,1.0,3,1
boeing 777,Family Leisure,Economy Class,London to Rome,August 2022,4.0,4.0,3.0,3.0,1.0,1.0,2,0
boeing 787,Couple Leisure,Economy Class,Tel Aviv to London,August 2022,5.0,5.0,5.0,5.0,3.0,1.0,4,1
boeing 777,Family Leisure,Economy Class,Cape Town to London Heathrow,August 2022,2.0,1.0,1.0,3.0,4.0,1.0,3,0
a320,Solo Leisure,Business Class,London to Marrakesh,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,0
